"Control","Frequency","First Phoneme","Syllables","Phonemes","Length","Animacy"
"hairspray",0,"h",2,7,9,"i"
"deed",8,"a",2,7,7,"i"
"notebook",2,"n",2,6,8,"i"
"handling",38,"h",3,7,8,"i"
"spark",12,"s",1,5,5,"i"
"neighborhood",58,"n",3,7,12,"i"
"spring",127,"s",1,5,6,"i"
"wound",28,"w",1,4,5,"i"
"steak",10,"s",1,4,5,"i"
"fisherwoman",0,"f",4,9,11,"a"
"tower",13,"t",1,3,5,"i"
"report",174,"d",3,9,8,"i"
"dog",75,"d",1,3,3,"a"
"iron",43,"a",1,3,4,"i"
"wash",37,"w",1,3,4,"i"
"foam",37,"f",1,3,4,"i"
"dessert",7,"d",2,5,7,"i"
"ribbon",12,"r",2,5,6,"i"
"childhood",50,"tS",2,7,9,"i"
"printer",3,"p",2,6,7,"i"
"zipper",1,"z",2,4,6,"i"
"punishment",21,"p",3,9,10,"i"
"tie",23,"t",1,2,3,"i"
"workroom",0,"A",2,4,6,"i"
"soul",47,"s",1,3,4,"i"
"ladder",19,"l",2,4,6,"i"
"parade",25,"p",2,5,6,"i"
"ostrich",0,"O",2,6,7,"a"
"freezer",1,"f",2,5,7,"i"
"scale",60,"s",1,4,5,"i"
"hole",58,"h",1,3,4,"i"
"stepbrother",0,"s",3,9,11,"a"
"beggar",2,"b",2,4,6,"a"
"loin",1,"l",1,3,4,"i"
"survey",37,"s",2,4,6,"i"
"party",216,"p",2,5,5,"i"
"traveler",8,"tr",3,6,8,"a"
"screen",48,"s",1,5,6,"i"
"growth",155,"g",1,4,6,"i"
"cave",9,"k",1,3,4,"i"
"potato",15,"p",3,6,6,"i"
"flour",8,"f",1,4,5,"i"
"performance",122,"p",3,9,11,"i"
"manager",88,"m",3,6,7,"a"
"beauty",71,"b",2,5,6,"i"
"elevator",12,"E",4,7,8,"i"
"horse",117,"h",1,4,5,"a"
"socks",7,"s",1,4,5,"i"
"referee",1,"r",3,5,7,"a"
"hair",148,"h",1,3,4,"i"
"boys",143,"b",1,3,4,"a"
"friend",133,"f",1,5,6,"a"
"foreigners",13,"f",3,7,10,"a"
"rangers",2,"r",2,6,7,"a"
"wall",160,"w",1,3,4,"i"
"lamb",7,"l",1,3,4,"a"
"librarian",5,"l",3,9,9,"a"
"blind",47,"b",1,5,5,"a"
"peaches",1,"p",2,5,7,"a"
"plums",1,"p",1,5,5,"a"
"guests",62,"g",1,5,6,"a"
"building",160,"b",2,6,8,"i"
"puppy",1,"p",2,4,5,"a"
"elves",1,"E",1,4,5,"a"
