"TargetWord","Sentence"
"antílope","El león que estaba sentado en el campo fijó la mirada en el antílope mientras comía hierba junto la laguna."
"artista","El granjero que trabajaba intensamente en el campo odiaba al artista por la vida tan tranquila que llevaba."
"atleta","Los profesores que fueron al evento animaron al atleta durante su carrera final."
"autoridades","La mujer que había hecho la llamada a la policía habló con las autoridades acerca del robo cuando llegaron."
"bebé","La panadera que trabaja cerca de la iglesia tiene un bebé de cuatro años que ya puede tocar el piano."
"bióloga","La muchucha que conocí en la tienda es bióloga y fabrica productos farmacéuticos."
"brócoli","La chica que siempre olvida dónde deja las llaves fue a la tienda a comprar brócoli para el platillo que estaba preparando."
"bus","El hombre que estaba regresando de la cena condujo el bus con los maestros de la escuela."
"cable","El cartero que trabaja para la ciudad cortó el cable que colgaba de la ventada porque representaba un peligro."
"café","El ladrón que robó el banco bebió un café antes del atraco y luego le dijo a sus amigos lo que hizo."
"cámara","El abogado que estudió en Harvard pidió la cámara por internet porque era más barata."
"canguro","Mi papá quien ha viajado por el mundo no había visto un canguro hasta su viaje a Australia ."
"capitales","El historiador que estaba sentado en el parque sabía todas las capitales de los países africanos."
"caramelos","La psicóloga que estudia la memoria adora cuando sus participantes traen caramelos como obsequio."
"carpintero","El mayordomo que trabaja en la mansión llamó al carpintero para reparar la puerta principal de la casa de visitas."
"catedral","El cantero que era primo del rey construyó una catedral con material reciclado."
"cereal","El dálmata que tenía las orejas caídas se comió el cereal que el niño derramó al piso."
"círculo","El niño que está en tercer grado dibujó un círculo con su lápiz azul y luego lo cortó y lo pegó en su libro"
"cliente","La mujer que había trabajado en una empresa que hace papel vio a su cliente en el centro comercial."
"cobra","La actriz que estaba en el balcón mató a una cobra con una pala que sacó del depósito"
"colegas","El librero que abrió la nueva tienda en la esquina invitó a sus colegas a la inauguración."
"compositor","La actriz que estudió en Madrid cenó con el compositor de San Francisco."
"computadora","La cajera que trabaja en el banco quemó la computadora de su escritorio con su cigarrillo."
"coronel","El telegrafista que trabaja en la base aérea avisó al coronel del ataque que estaban planeando los enemigos."
"cubo","El asistente que enseña en la escuela diseñó el cubo para la clase de física."
"decisión","El congresista que vive en Minnesota argumentó que su decisión fue la correcta dadas las circunstancias."
"detective","El escritor que estaba tratando de buscar ideas para su novela escuchó al detective durante el interrogatorio."
"dinamita","El soldado que estaba ansioso por demostrar sus capacidades encendió la dinamita demasiado pronto y casi pone la misión en peligro."
"director","El  empresario que había invertido mucho dinero despidió al director de la compañía el mes pasado."
"estatua","La bailarina que estaba en la exposición comprará una estatua en Berlín durante su próxima visita."
"estrategia","El entrenador que trabaja en la escuela cree que su estrategia dará buenos resultados."
"estudiante","La mujer que asistió a un campamento de verano de niña se convirtió en la mejor estudiante de su clase."
"familia","El hombre que ama a los animales llevó a su casa un gatito para su familia sin antes decirle a su esposa."
"garaje","La peluquera que compró un coche abrió el garaje de su casa con su mando."
"general","El rey que gobernaba el país invitó al general a comer gambas y tomar una cerveza."
"hamburguesa","El jardinero que fue contratado por la escuela preparó una hamburguesa para comer con sus amigos."
"ingeniero","El contable que tiene tres hijos llamó al ingeniero el día de su boda para felicitarlo."
"instituto","El arqueólogo que ha dedicado su vida a las ciencias inauguró el instituto de Investigación Anatómica."
"jirafa","Los bomberos que llegaron al sitio del accidente ayudaron a la jirafa en peligro en el zoo de San Diego."
"miembros","Las personas que fundaron las Naciones Unidas eran miembros de una generación esperanzada de individuos."
"oficial","El rehén que estaba atrapado en el banco llamó al oficial miestras el ladrón estaba distraído."
"organizador","La enfermera que trabajará con el cardiólogo empujó al organizador por la puerta."
"paciente","El especialista que es muy famoso habló con el paciente sobre varios tratamientos para curar su enfermedad."
"pipa","El dentista que murió la semana pasada había comprado una pipa en Turquía para su colección."
"pirata","El hombre que navegaba por los mares en su barco mató al pirata con un cuchillo."
"pistola","La camarera que fuma dos cajetillas de cigarrillos al día carga una pistola en su bolso."
"planta","El político que vive en Washington compró una planta para su esposa porque le gustan mucho."
"plato","La mujer que abrió la vitrina tiró un plato a su marido porque estaba molesta con él."
"presentador","El narrador de noticias que había sido ascendido recientemente animó al presentador a actuar con naturalidad en el aire."
"presidente","La diplomática que viaja a muchos países preguntó al presidente si podía convertirse en una espía."
"problemas","El decorador que escribe para la revista predijo que los problemas con la pintura serían difícil de resolver."
"profesora","El  taxista que estaba estacionado en la esquina de la panadería  llevó a la profesora a su casa."
"proyecto","El explorador que fue entrevistado ayer dijo que el proyecto requería más dinero para que se puediera completar."
"rata","El señor que organizó el evento encontró una rata en la despensa de la cocina la semana pasada."
"recepcionista","La hermana del gobernador que lo ayudó durante su campaña recogió las cartas de la recepciónista antes de irse."
"reportero","El esquiador que ganó la medalla en las olimpiadas vio al reportero durante el salto."
"sofá","La pelota de béisbol que fue autografada por el jugador famoso aterrizó en el sofá después de haberse caido de la vitrina."
"sopa","La señora que vive en nuestro edificio dejó la sopa en la ventana para que se enfriara."
"suéter","El soldado que había luchado en la batalla cosió el suéter en su tienda de campaña."
"tanque","El pacifista que había organizado la manifestación pintó el tanque con símbolos de paz."
"teléfono","La cuidadora que empezó a trabajar ayer limpió el teléfono con agua y jabón para desinfectarlo."
"turistas","El espía que facilitó los datos interrogó a los turistas en Cancún para obtener más información sobre el caso."
"vendedor","Los chicos que estaban en el supermercado llamaron al vendedor por la ventana."
"violín","El actor que vivió en Chile compró un violín para el cumpleaños de su hija en una tienda famosa."
